id,cate_id,cate_directory,question,similar_questions,create_time,update_time,creater,updator,answer
30011996095,30000205844,已购课程/课程咨询,如何领取课程资料,"要如何查看课程资料内容
有什么资料赠送么
这个课程有电子版的没
资料包在哪里可以找到？
有什么资料可以领取？
老师365的课程有资料包吗？
有没有资料发给我
是不是你们还有资料发给我
资料在哪里
课程拍下后，如何领取
资料在哪里领取
赠品在哪领取
电子资料学习笔记需要自己打印吗？
当时买课程，说送的那些东西在哪里领
23的电子资料是什么 pdf 还是课程 还是都有
说有赠送的课程，在哪能领取
视频看到了，电子资料在哪领
我刚拍了1号链接，来领取资料
资料怎样领取
电子资料如何领取
这个配套的电子资料我没领取 要怎么领取？
有没有资料领取
拍课了，怎么领取资料
怎么去领电子版资料
这个资料在哪领取
电子资料下载途径在哪？
如何操作领取课程资料
买好了，怎么领取课程资料
资料包是什么/怎么领取？
怎么领资料包
获取资料包",2024/3/8 18:49:46,2024/5/9 17:15:45,ceshi@1956773234663935.onaliyun.com,ceshi@1956773234663935.onaliyun.com,"<div id=""se-knowledge""><p>亲亲，可以根据图片指引，看到课程相关资料哦</p><p><img width=""1001"" height=""1782"" src=""https://beebot-knowledgecloud-aliyun-public-cn-shanghai.oss-cn-shanghai.aliyuncs.com/kc/1223107/kc-media/kc-faq-oss/1712487095414-如何领取资料.jpeg"" slate-data-type=""image""></p><link rel=""stylesheet"" href=""https://g.alicdn.com/isipfe/docs/rich.css?""></div>"
30012054921,30000209438,新知识暂存,修改手机号,"用原来的手机号登不了咯
帮我把这个订单4932520947328970655的手机号修改下
老师，这个是我的订单号码：5005397003213768594，请帮我改成这个13856748576
这个订单号5005397003213768594的手机号码换成这个13856748576
我买课程的手机号现在不用了咋办
如何更改手机号
我想改一下手机号码
可以在线修改手机号吗
修改手机号需要注意什么事项
可以电话修改手机号吗
怎样修改手机号码
你好，我忘记是哪个手机号登录了
电话号码报错了怎么修改
电话号码错了，能帮我改一下吗
帮我修改了一下号码
号码错了亲 能改过来吗
号码搞错了，能更换吗
下单手机号是收快递的 如何更改
我手机号填错了 能改吗
那就申请修改电话号码 怎么操作。
修改手机号的方法是什么
如何更改手机号码
修改手机号的步骤是什么
我想要修改一下手机号
收货哪个电话号码填错了，我想改怎么改
手机号码修改
怎么修改手机号
我之前的号码不用了，需要换一个手机登录看课程
之前手机号不用了，怎么换手机号学习
我那个下订单的手机号不是常用的 我想换一个
拍的时候搞错地址和收货人电话",2024/4/19 22:14:24,2024/5/9 14:58:22,ceshi@1956773234663935.onaliyun.com,ceshi@1956773234663935.onaliyun.com,"<div id=""se-knowledge""><p>亲亲，您可以根据下图指引修改手机号</p><p><img width=""1920"" height=""1080"" src=""https://beebot-knowledgecloud-aliyun-public-cn-shanghai.oss-cn-shanghai.aliyuncs.com/kc/1223107/kc-media/kc-faq-oss/1715237894420-修改手机号码.jpg"" slate-data-type=""image""></p><link rel=""stylesheet"" href=""https://g.alicdn.com/isipfe/docs/rich.css?""></div>"
30012028426,30000210640,多渠道知识维护/如何开票,抖音小程序-如何开票,,2024/4/7 21:56:16,2024/5/8 17:30:50,chensicong@1956773234663935.onaliyun.com,chensicong@1956773234663935.onaliyun.com,"<div id=""se-knowledge""><p>亲亲开发票流程如下~</p><p>1、抖音搜索""获课""进入小程序</p><p>2、点击右下角""我的""，再点击""发票服务""，找到需要开票订单并点击""申请开票""，根据页面提示填入发票信息即可~</p><p>3、开票项目是*广播影视服务*短视频服务</p><p>开票提醒</p><p>开票时间：每周三中午12点之前申请的发票，财务会在周五同意开除并发送到您的邮箱~期间还请耐心等待呢~</p><p>如有疑问可以咨询客服为您处理哟~</p><p style=""text-align:left;margin-bottom:0px;margin-top:0px;margin-left:0px""><img width=""657"" height=""1024"" src=""https://beebot-knowledgecloud-aliyun-public-cn-shanghai.oss-cn-shanghai.aliyuncs.com/kc/1223107/kc-media/kc-faq-oss/1715160643297-tuikuan.jpg"" slate-data-type=""image""></p><link rel=""stylesheet"" href=""https://g.alicdn.com/isipfe/docs/rich.css?""></div>"
30012028425,30000210640,多渠道知识维护/如何开票,抖店-如何开票,,2024/4/7 21:52:36,2024/5/8 17:30:24,chensicong@1956773234663935.onaliyun.com,chensicong@1956773234663935.onaliyun.com,"<div id=""se-knowledge""><p>亲亲开发票流程如下~</p><p>1、抖音搜索""获课""进入小程序</p><p>2、点击右下角""我的""，再点击""发票服务""，找到需要开票订单并点击""申请开票""，根据页面提示填入发票信息即可~</p><p>3、开票项目是*广播影视服务*短视频服务</p><p>开票提醒</p><p>开票时间：每周三中午12点之前申请的发票，财务会在周五同意开除并发送到您的邮箱~期间还请耐心等待呢~</p><p>如有疑问可以咨询客服为您处理哟~</p><p style=""text-align:left;margin-bottom:0px;margin-top:0px;margin-left:0px""><img width=""657"" height=""1024"" src=""https://beebot-knowledgecloud-aliyun-public-cn-shanghai.oss-cn-shanghai.aliyuncs.com/kc/1223107/kc-media/kc-faq-oss/1715160616170-tuikuan.jpg"" slate-data-type=""image""></p><link rel=""stylesheet"" href=""https://g.alicdn.com/isipfe/docs/rich.css?""></div>"
30012022004,30000205846,基本回复,转人工,"帮我转人工，请尽快处理
你们客服是真人吗，感觉像机器人
能转人工吗，总是机器人回复
你们人工客服都不理人的吗，我该找谁？
我想找一下人工客服，怎么没人理我？
人工客服电话多少，怎么联系？
我想咨询人工
人工客服怎么咨询
客服的电话有吗
我要转接客服
可以转接到人工吗
有真人客服吗
我要真人客服
坐席人工
人工客服
人工客服电话",2024/3/28 10:50:37,2024/5/8 17:23:32,ceshi@1956773234663935.onaliyun.com,ceshi@1956773234663935.onaliyun.com,"<div id=""se-knowledge""><p>亲亲，您有什么问题可以跟我说</p><link rel=""stylesheet"" href=""https://g.alicdn.com/isipfe/docs/rich.css?""></div>"
30012023408,30000210639,多渠道知识维护/如何看课,抖音小程序-12-看课指引,,2024/3/29 18:03:02,2024/5/6 20:00:54,lizhun@1956773234663935.onaliyun.com,chensicong@1956773234663935.onaliyun.com,"<div id=""se-knowledge""><div>亲亲，在抖音首页搜索抖音小程序获课一下进行观看哦<br>抖音小程序名称：获课一下</div><p><img width=""4096"" height=""3072"" src=""https://beebot-knowledgecloud-aliyun-public-cn-shanghai.oss-cn-shanghai.aliyuncs.com/kc/1223107/kc-media/kc-faq-oss/1712550513458-1.jpg"" slate-data-type=""image""></p><p>&nbsp;</p><link rel=""stylesheet"" href=""https://g.alicdn.com/isipfe/docs/rich.css?""></div>"
30012063227,30000205844,已购课程/课程咨询,我总出门没时间看,"后续能看的时间比较少
我这段时间看不完
我没有时间看",2024/4/25 10:41:51,2024/4/25 10:41:51,ceshi@1956773234663935.onaliyun.com,,"<div id=""se-knowledge""><p>亲亲 ，咱们课程有效期限是一年的呢，如果没看完也可以联系我们帮您延期的~</p><link rel=""stylesheet"" href=""https://g.alicdn.com/isipfe/docs/rich.css?""></div>"
30012023921,30000209438,新知识暂存,有书本吗,"购买之后是会给我发音频吗
买了课程是发音频给我吗
看视频不方便，有音频课程吗
购买的课程是书还是视频啊
我买了课程一直没有教材
是要领书吗
书是寄给我吗
有文字版吗
有书吗
是线上课吗
为什么评论区晒图有书本？
我没有收到教材怎么办？
为什么我购买的课程没有教材？",2024/3/31 19:03:52,2024/4/24 17:38:18,ceshi@1956773234663935.onaliyun.com,ceshi@1956773234663935.onaliyun.com,"<div id=""se-knowledge""><p>这个是线上的视频课程（标题、封面、详情页都有写的），下单后就可以直接在线观看，一年有效期，不支持下载，没有纯音频，也没有书籍、U盘、光碟等实物哦！</p><link rel=""stylesheet"" href=""https://g.alicdn.com/isipfe/docs/rich.css?""></div>"
30011996099,30000205844,已购课程/课程咨询,课程有效期,"买时没说有期限啊，停课了
买了可以学多久呢
可以反复听课吗，每次听收获都会不一样
多久就后才看不到，我给我家人买的
多久以后看不到了？
有没有时间期限
购买时没用说明有有效期
买的时候咋不说有期限
一年后还要付费 不可固定下载硬盘？
能保存经常听就好 温故知新
你好课程买了之后忘记了呢 很少买东西，现在过期了
我是不是超过有效期了
现在记性不好，得多看几遍
购买了之后我基本没看
我去年买的书籍  视频课的短信链接打不开了，怎么处理
请问买了课程以为是终身免费复训呢
之前有事情耽搁了，现在还能看吗？
请问这个课程可以无限学习吗？
2021年我下的单，一直忙没时间学，请问现在还能学习吗
为什么不能反复学习，你们也太坑了吧
可以反复学习一年吗，还是多久，心里没数
这个是不是可以循环学习啊，我比较笨
可以一直学习吗，后面还有收费的地方吗
为什么不能终身观看啊，才一年就没了，烦人！
为什么提示我明天就失效了，我一次都还没看呢
能否改成长期听
可以看多久，视频课程
课程无学习期限限制的吗
大概能看多长时间
时间太短，没顾上学习就没有了
很早就拍下课程，现在还可以学习吗？
请问一下这个课程购买后只管12个月吗？12个月后是不是就不能用了。
课程过期了，怎么办
我这个课程因为我给我弟弟买的，然后他忘记去弄了，但是现在去登录的时候，他说课程已经过期了，怎么搞？我还没去。
一共3个课程 都听不了了 麻烦您帮忙看下
你好，我之前买了这个课程，因为账号密码忘了，一直没登录，现在找回来了，课程为什么看不了了？
这个课程是2021年买的，现在听不了啊
你好，怎么回事，我又看不了呢
订单号：4999214728497931938 怎么学不了 我忙的一直没学
你好 我买的这个课程不是说永久性的？怎么现在不可以观看了？
课程时长几年？
这两位老师课程学习一遍完全不够
你好我看到了 ，这个课程是什么时候到期
我之前购买过课程，没有学，现在课程过期了怎么办？
买的时候也没说还有期限啊
这个课程时长多久？
课程可以看到多久呀？
那在这个获课里学习还有1年期限限制吗？
你好课程有时限不是永久的啊
你这个课程一次最长才半个小时？
课程时长几年
这个不是一直可以学的吗？还有时间限制
也过期了 还没有看完 平常也很忙 不晓得有保质期
我要多长时间就要看完
课程多久要看完
多长时间看完
课程的学习时间有没有规定
课程有没有规定学习时间段
为什么会课程过期
亲，怎么显示课程过期了
一直忙，好久没听，最近要学习才知道一年期限
我们去年已经购买了的
一年后还得再申请开通吗？
只能看一年 明年不能看了吗
这么快就过期了，还没学完呢
之前直播上说终身免费观看啊。
会过期吗？
课程要多长时间看完
一年后就不能看了对吗？
有没有时间限制
课程可以观看多久？我可以反复学习吗？
课程是永久的吗
课程有规定时间听的吗
不是可以永久回看的吗？
视频课程会过期吗？
为啥有短信提示我课程要过期？
课程怎么还会有时间限制吗？
课程的有效期为什么不是长久的？
课程为什么不是终身都可以学习啊？
课程为什么还有有效期？
课程有效期是多久？
为什么有有效期",2024/3/8 18:49:47,2024/4/24 14:58:25,ceshi@1956773234663935.onaliyun.com,ceshi@1956773234663935.onaliyun.com,"<div id=""se-knowledge""><p>亲亲，课程是有时效的，商品详情都有标明的哦</p><link rel=""stylesheet"" href=""https://g.alicdn.com/isipfe/docs/rich.css?""></div>"
30011996164,30000205850,售后/物流问题/发货问题,发货咨询,"什么时候发货呢？
我的订单需要多久才能发货
我的订单发货了吗？我需要尽快收到。我已经下单了，但是急需使用，可以加快处理我的订单吗？
请问付款后多久能收到课程
购买的东西三天都还没都，太慢了
真服了，你们快递这么慢。
付款了，多久能到啊
再不给我发课程，我就要举报你们了
这个货到哪了
还没收货
怎么还没收到货呢？老板
几门课 发什么快递
送邮政快递吗
那个快递怎么选
今天可以发货吗
课程何时发货
我下单了，但是还没有收到发货通知，请问什么时候可以发货？
我成功拍下了课程，什么时候可以发货？
我已经等待发货很久了，能帮我催一下吗？
我的订单发货了吗？我需要尽快收到。
我已经下单了，但是急需使用，可以加快处理我的订单吗？
多久能送到
发货时间
发货方式",2024/3/8 18:50:02,2024/4/23 18:28:40,ceshi@1956773234663935.onaliyun.com,ceshi@1956773234663935.onaliyun.com,"<div id=""se-knowledge""><p>亲爱的同学~发货情况分类为您整理好啦：【视频课】付款后会收到【博商获客】的短信，请根据指引登录学习；【学习资料】在视频课下方“资料”处查阅就可以呢~您放心，下单后会尽快帮您发货的，还请耐心等待呢～祝您学有所获哟~【书籍】书本下单后48小时内寄出，点击进去订单就可以查看到物流信息哟~</p><link rel=""stylesheet"" href=""https://g.alicdn.com/isipfe/docs/rich.css?""></div>"
