分类,提问,是否增加到知识库,高频问答支持,标准回复,,知识库是否已录入,,,,
课程答疑,如有疑问怎么解答呢,,否,亲亲 线上视频课程是自主学习的呢，很抱歉没有老师指导哦[爱心],,,,,,
,这个有学习群里解答吗,,否,亲亲 线上视频课程是自主学习的呢，很抱歉没有学习群哦[爱心],,,,,,
,后期有老师辅导吗,,否,线上课程的话主要是以自学为主的，老师的讲解都是非常通俗易懂的呢，而且您也可以随时反复观看学习哦，还是很方便吸收的~,,,,,,
课程观看,怎么看,,是,"亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢
https://p3-pigeon-sign.ecombdimg.com/ecom-shop-material/cUQXEgF_m_dfdbda7dda2bb5d10850bc6860d440ec_sx_337291_www1000-1387~tplv-jxcbcipi3j-image-limit.image?lk3s=6c886902&x-expires=1710868967&x-signature=tvk%2BRNdrMIYEtcdlA9cUoLC%2BEyU%3D","第一种回复：
亲爱的同学~您的眼光真不错！
【视频课】请下载“获课”App学习（提示：是课程的“课”），用下单手机号登录后，在首页点击“我的已购”就可以学习哟~
【学习资料】在视频课下方“资料”处查阅就可以呢~
让我们一起开始愉快的学习之旅吧！

第二种回复：
下单成功后，会有【获客教育】的课程短信发给您，请查看下您的手机是否有收到呢，根据短信指引即可学习哦~",,图片,,,
,我已购，怎么看视频？,,是,,,,,,,
,哪里听课,,是,,,,,,,
,哪里看课,,是,,,,,"希望被命中为：
我该如何观看我购买的课程？
实际被命中为：
如何在【V信公众号】观看购买的课程？",,
,在哪里学习？,,是,亲亲 视频课在这里学习哈：请下载【获课】app，用下单的收件手机号登录后，在首页点进【我的已购】即可学习哟~课程附加的资料可在视频下方获取的呢,,,,"命中为：
我该如何观看我购买的课程？
实际回复时为：
如何在【V信公众号】观看购买的课程？ 中的内容。
实测是 上下文影响到了模型问答。",,
,老师，我下单了，怎么学习？,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
,拍了立马可看对吗,,是,是的呢亲亲，遇到问题随时咨询我哦[爱心],,,,,,
,课程怎么上呀,,否,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
,我已经买了，但是不知怎么进去看,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
,我买完课程了不知道在哪里学习,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
,我之前买的天地人网365，忘记在哪里学习了,,不准确,亲亲 很抱歉本店暂时没有看到您的订单哦，您可能在其他店铺下单，麻烦提供一下订单截图（包含订单编号和下单时间）+下单手机号码，这边为您查看处理哦,,,,"希望被命中为：
我该如何观看我购买的课程？
实际被命中为：
我购买了课程，如何开始学习？资料包在哪里可以找到？",,
,我买的365的课程怎么进不去学习了,,是,亲亲 很抱歉本店暂时没有看到您的订单哦，您可能在其他店铺下单，麻烦提供一下订单截图（包含订单编号和下单时间）+下单手机号码，这边为您查看处理哦,,,,"希望被命中为：
我该如何观看我购买的课程？
实际被命中为：
这个课程是线上还是线下？",,
,下单后即刻学习嘛？,,是,是的呢亲亲，遇到问题随时咨询我哦[爱心],,,,,,
,下单后在哪里看,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,"希望被命中为：
我该如何观看我购买的课程？
实际被命中为：
我该如何观看我购买的课程？
可以电脑看吗，怎么看？
私房课在哪里领取",,
,购买后在哪里看到课程,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
,我想知道听课在哪里听,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,"希望被命中为：
我该如何观看我购买的课程？
实际被命中为：
我该如何观看我购买的课程？
私房课在哪里领取",,
,我已购，有时没时间听，要进入哪里,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
,你好，我买过这个课，一直没看，但是找不到路径了，课程买了从哪里看？,,是,亲亲 很抱歉本店暂时没有看到您的订单哦，您可能在其他店铺下单，麻烦提供一下订单截图（包含订单编号和下单时间）+下单手机号码，这边为您查看处理哦,,,,"希望被命中为：
我该如何观看我购买的课程？
实际被命中为：

我想了解课程的具体内容，在哪里可以找到？",,
,在哪里听来着,,否,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
,怎么样上课,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
,拍了怎么用,,否,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
,我在获课上找不到在哪里学习了,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,"希望被命中为：
我该如何观看我购买的课程？
实际被命中为：

我想了解课程的具体内容，在哪里可以找到？",,
,怎么看课程,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
,这个怎么看,,是,亲亲 视频课在这里学习哈：您在您手机的应用商店搜索【获课】下载，然后用下单的【收件手机号】登录点首页【我的已购】就可以看了哈~课程附加的资料可在视频下方获取的呢,,,,,,
