"id","text","prediction","annotation","metadata","score","batch_id"
0,"""2 + 2 = 5""","否","否","","",0
1,"""10 * 0 = 100""","否","否","","",0
2,"""9 / 3 = 2.99999""","否","否","","",0
3,"""(-3) + (-4) = -7""","否","是","","",0
4,"""(sqrt(-1))^2 = 1""","是","否","","",0
5,"""16^(1/2) = 3""","否","否","","",0
6,"""log(100) = 10""","否","否","","",0
7,"""e^π = 22/7""","否","否","","",0
8,"""sin(90°) = 0""","否","否","","",0
9,"""lim(x->0)(x^2 / x) = 0""","是","是","","",0
10,"","是","是","","",0
11,"""(-2) * (-3) = -6""","否","否","","",0
12,"""5! = 120""","是","是","","",0
13,"""π * 0 = 3.14""","否","否","","",0
14,"""√25 = 5.001""","否","否","","",0
15,"""(a + b)^2 = a^2 + b^2""","否","否","","",0
16,"""1/∞ = 0""","是","是","","",0
17,"""ln(e) = 2""","否","否","","",0
18,"""cos(π) = 1""","否","否","","",0
19,"""10% of 100 = 0.1""","否","否","","",0
20,"""(x + y)^2 = x^2 + y^2""","否","否","","",0
21,"2. ""√(-1) = 1""","否","否","","",1
22,"3. ""0 ÷ 0 = 3""","否","否","","",1
23,"4. ""100! = 101""","否","否","","",1
24,"5. ""(-2) × (-3) = -6""","否","否","","",1
25,"6. ""π = 3""","否","否","","",1
26,"7. ""e^0 = -1""","否","否","","",1
27,"8. ""√9 = 3.14""","否","否","","",1
28,"9. ""∞ - ∞ = 2""","否","否","","",1
29,"10. ""(-1)^0.5 = 1""","否","否","","",1
30,"2. ""e^0 = 0""","否","否","","",2
31,"3. ""√(9) = -3""","Discarded","否","","",2
32,"4. ""(-1) ^ 0.5 = 1""","否","否","","",2
33,"5. ""0 ÷ 0 = 1""","否","否","","",2
34,"6. ""lim(x->∞)(sin(x)) = -1""","否","否","","",2
35,"7. ""2 + 2 = 4.999""","否","否","","",2
36,"8. ""(1/2) + (1/3) = 1/5""","否","否","","",2
37,"9. ""(-5)!(mod 3) = 1""","是","是","","",2
38,"10. ""∫(1/x)dx from 1 to ∞ = -1""","否","否","","",2
39,"2. ""(-5)! = 120""","","","","",3
40,"3. ""√(-9) + √9 = 0""","","","","",3
41,"4. ""e^0 = -1""","","","","",3
42,"5. ""∞ + 1 = ∞""","","","","",3
43,"6. ""0 × ∞ = 5""","","","","",3
44,"7. ""lim(x->0)(sin(x)/x) = 0""","","","","",3
45,"8. ""(-2)^0.5 = 1.414""","","","","",3
46,"9. ""log(1) / log(2) = 0""","","","","",3
47,"10. ""100% of 10 = 10.01""","","","","",3
